,num_above_peaks_AF3,num_above_peaks_AF4,variance_AF3,variance_AF4,label
44,2,2,1219191.0035171602,29816.983032257183,double_blink
45,4,3,1167649.1595833704,43252.19488743705,double_blink
46,2,2,2365933.6495705224,114163.76644169271,double_blink
47,3,2,65818.22985431904,27929.709078797332,double_blink
48,3,3,33128.804876192924,10302.448204288272,double_blink
49,4,3,12619.202895445527,3599.4846258903904,double_blink
50,2,3,63571.24793730542,20326.001366175624,double_blink
51,4,4,19589.095973131698,5655.269178260136,double_blink
52,2,2,952987.316795159,25510.397900407886,double_blink
53,3,3,20767.676317736834,7756.293584241987,double_blink
54,2,2,8391.610437215335,2415.8771809088344,double_blink
55,0,2,3193402.6610560706,78240.18713001675,double_blink
56,0,2,3034141.228543511,57673.09876355593,double_blink
57,2,1,12625.097429289237,3904.2185946576756,double_blink
58,2,2,11900.86804704678,4640.488017979395,double_blink
59,3,3,33618.4795896005,10079.286556445222,double_blink
60,3,3,16194.091733437366,5149.207900396361,double_blink
61,3,2,18282.974345355928,6306.464419275819,double_blink
62,4,4,19030.501781538514,5640.615350910714,double_blink
63,0,3,3185236.2785302424,105861.91611691866,double_blink
64,3,1,1343505.272581726,21270.933903315366,double_blink
65,3,3,26117.291608251988,10444.24363813974,double_blink
66,3,3,41296.310051036846,17637.527011606282,double_blink
67,3,3,31364.81189616704,8348.28349457495,double_blink
68,3,2,15602.855816741545,6772.324292393677,double_blink
69,2,3,57732.15771634045,20012.00052704817,double_blink
70,3,4,30497.193236013878,7314.676709579428,double_blink
71,3,3,23707.87229676471,6230.401098792272,double_blink
72,4,3,33029.03614312707,13947.856528570486,double_blink
73,2,3,50457.7560213577,15614.653444192401,double_blink
74,2,2,45350.85904901154,18365.719321653178,double_blink
75,3,2,43510.68210649496,19526.96782835115,double_blink
76,3,4,37886.46128007642,16079.926411624305,double_blink
77,2,3,60923.11370842219,22570.74242979765,double_blink
78,1,1,60931.677060892405,9985.775471850553,double_blink
79,2,2,909030.0434737817,45442.827293211696,double_blink
80,3,3,50144.12209409585,18426.816168486825,double_blink
81,2,1,48863.39368097222,29543.44189119145,double_blink
82,3,3,30072.68832036707,12416.964016142127,double_blink
83,3,3,42655.317925392024,10870.778712421072,double_blink
84,3,3,38268.44783151767,15985.850941228571,double_blink
85,2,1,30636.280116020826,16634.38982226989,double_blink
86,3,2,1669043.9552912216,63269.83875389903,double_blink
87,3,2,16738.613639359184,5389.341355529088,double_blink
88,3,1,28791.888787275097,15484.133324411223,double_blink
89,0,3,3449273.0401934963,89672.29244096333,double_blink
90,4,4,25916.0256289124,5761.936142096221,double_blink
91,3,2,1758697.1079116596,61702.09771294383,double_blink
92,4,2,1606166.1088845409,35333.771023335394,double_blink
93,3,3,25504.9289596791,10772.625527651191,double_blink
94,4,3,38515.90808869581,15377.233773163363,double_blink
95,3,3,29218.158708420917,7368.238734534193,double_blink
96,3,3,33598.054910804225,14991.835203677352,double_blink
97,4,3,50524.67904003385,17598.554244612453,double_blink
98,4,4,42404.45472114177,18058.58450448156,double_blink
99,2,0,34559.61763630555,54783.48156858167,double_blink
100,2,2,64630.27115566344,13120.62211882399,double_blink
101,3,2,1735622.6813407426,50438.18057299873,double_blink
